ep,t,cp,cv,theta_rad,theta_dot_rad,cp_fz,cv_fz,pd_fz,pv_fz,a,a_f,a_q,q0,q1,fz0,fz1,mu_cp_L,mu_cp_R,mu_cv_L,mu_cv_R,mu_pd_L,mu_pd_R,mu_pv_L,mu_pv_R,xi_top1,xi_top1_v,xi_top2,xi_top2_v,xi_top3,xi_top3_v
260,0,0.025974629446864128,0.020595455542206764,0.049826979637145996,0.005640564486384392,0.025974629446864128,0.020595455542206764,0.4163360297679901,0.002542422153055668,1,1,0,48.734127044677734,48.0635871887207,-4.80169677734375,4.801694869995117,0.27039915323257446,0.28580549359321594,0.2350478619337082,0.24445000290870667,0.015428081154823303,0.20576289296150208,0.2762312889099121,0.2798505127429962,15,0.1226346343755722,14,0.12104863673448563,11,0.11791782081127167
260,1,0.02638653852045536,0.2149687111377716,0.04993979260325432,-0.2709144055843353,0.02638653852045536,0.2149687111377716,0.4172786772251129,-0.12211167812347412,1,1,0,48.982906341552734,48.095314025878906,-4.7317705154418945,4.731768608093262,0.27027904987335205,0.28592973947525024,0.19391928613185883,0.2920207977294922,0.015372160822153091,0.20622311532497406,0.3728867173194885,0.1995496302843094,14,0.18726922571659088,6,0.17701883614063263,10,0.12435798346996307
260,2,0.0306859128177166,0.40934377908706665,0.044521503150463104,-0.547437310218811,0.0306859128177166,0.40934377908706665,0.3720054030418396,-0.2467513233423233,1,1,0,48.154808044433594,47.48346710205078,-4.425012588500977,4.425010681152344,0.2690276801586151,0.28722840547561646,0.15808002650737762,0.34469130635261536,0.018268363550305367,0.18491047620773315,0.4837190806865692,0.13674768805503845,14,0.2511642873287201,6,0.23524881899356842,10,0.11518728733062744
260,3,0.03887278959155083,0.6038128733634949,0.03357275575399399,-0.825766921043396,0.03887278959155083,0.6038128733634949,0.2805216908454895,-0.37220531702041626,1,1,0,48.004493713378906,47.094444274902344,-3.718214988708496,3.7182135581970215,0.2666548788547516,0.28971096873283386,0.12731464207172394,0.40204060077667236,0.025606602430343628,0.1466895341873169,0.6038185358047485,0.08979979157447815,14,0.29310575127601624,6,0.2697794735431671,10,0.09281812608242035
260,4,0.05094904825091362,0.7984600067138672,0.017057418823242188,-1.107704520225525,0.05094904825091362,0.7984600067138672,0.1425255537033081,-0.49928557872772217,1,1,0,49.80115509033203,47.64671325683594,-2.136155605316162,2.1361541748046875,0.2631785571575165,0.2933962345123291,0.10129160434007645,0.4633941650390625,0.041432421654462814,0.10057354718446732,0.7254848480224609,0.0562889464199543,14,0.28430646657943726,6,0.2550249695777893,12,0.11712329089641571
260,5,0.06691824644804001,0.9933536648750305,-0.005096672102808952,-1.3949878215789795,0.06691824644804001,0.9933536648750305,-0.04258593171834946,-0.6287753582000732,0,0,0,50.1748046875,44.041927337646484,0.8062306642532349,-0.8062319159507751,0.2586253583431244,0.29831185936927795,0.07959949970245361,0.5278089642524719,0.07491925358772278,0.05747968330979347,0.8382877111434937,0.0335162952542305,12,0.2532399892807007,4,0.21954970061779022,14,0.19429123401641846
260,6,0.08678531646728516,0.7982954978942871,-0.03299642726778984,-1.103902816772461,0.08678531646728516,0.7982954978942871,-0.27570608258247375,-0.49757200479507446,0,0,0,50.72175216674805,47.42926025390625,3.723085880279541,-3.7230875492095947,0.25303059816360474,0.30449432134628296,0.10131169855594635,0.4633408486843109,0.14485269784927368,0.026055093854665756,0.7238903641700745,0.05666017532348633,12,0.3522575795650482,4,0.2927212417125702,8,0.07702281326055527
260,7,0.1027512326836586,0.6036226749420166,-0.055074483156204224,-0.8217517137527466,0.1027512326836586,0.6036226749420166,-0.460182249546051,-0.3703955113887787,0,0,0,51.19877624511719,50.272125244140625,4.6963043212890625,-4.696306228637695,0.24859067797660828,0.30951616168022156,0.1273423284292221,0.4019824266433716,0.22791509330272675,0.013008682057261467,0.6020623445510864,0.09037211537361145,12,0.3464162349700928,4,0.2782273292541504,8,0.1097397580742836
260,8,0.11482368409633636,0.40929582715034485,-0.07150951772928238,-0.5468870997428894,0.11482368409633636,0.40929582715034485,-0.5975074172019958,-0.2465033233165741,0,0,1,50.41961669921875,50.894222259521484,4.939357757568359,-4.939359664916992,0.2452668696641922,0.31334471702575684,0.15808825194835663,0.3446776568889618,0.30707696080207825,0.007457904051989317,0.4834877848625183,0.13685594499111176,12,0.2926061153411865,4,0.229033961892128,8,0.13420535624027252
260,9,0.12300959974527359,0.21524755656719208,-0.08244726061820984,-0.27756449580192566,0.12300959974527359,0.21524755656719208,-0.6888992190361023,-0.12510913610458374,0,0,1,49.439247131347656,50.82676696777344,4.9673075675964355,-4.96730899810791,0.24302938580513,0.3159560561180115,0.193864107131958,0.29209277033805847,0.36757391691207886,0.005055316258221865,0.37540289759635925,0.1978364884853363,12,0.21946796774864197,4,0.16881197690963745,8,0.14566248655319214
