episode,return
1,-165.71220404259077
2,-171.75128247219226
3,-41.76096742267313
4,-78.00746162251
5,-180.39095188228376
6,-120.11256197500339
7,-157.98873136320506
8,-99.62479637739894
9,-99.28656333597195
10,-174.0311428799276
11,-123.24478218769343
12,-168.93868434449126
13,-169.3404891447763
14,-105.08479111960224
15,-180.18793078410295
16,-157.97622387845573
17,-167.437595797847
18,-169.83925967342813
19,-170.2540986890113
20,-82.2082146973188
21,-177.41420492786335
22,-164.32041873685122
23,-90.6721713705811
24,-106.64556320639079
25,-170.48481335406606
26,-173.72730035927617
27,-28.388547774041744
28,-131.28310067953728
29,-107.72994181560999
30,-179.22666193044506
31,-84.96491663168777
32,-39.68801239687697
33,-168.95707179984194
34,-168.2604812168233
35,-174.2933381280488
36,-177.71655010957517
37,-126.91016444644497
38,-179.57266204399986
39,-172.9179185755726
40,-98.95721912733947
41,-183.15888370665198
42,-175.86079081942202
43,-108.6269613671074
44,27.847624326161984
45,-80.24900394849188
46,-81.32603198051925
47,-28.82176738368699
48,-187.03120539369408
49,-25.53012723731448
50,-87.27520417531102
51,-72.64885307979569
52,-170.40103280786582
53,-173.43059200434215
54,-108.47946033268391
55,-167.29468536111824
56,-186.76905846017928
57,-75.38959591597455
58,-18.709958875502217
59,-76.53806713113815
60,-24.258055070365515
61,-173.8542888749247
62,-25.182380170010003
63,-24.37998684091909
64,-22.284699291264307
65,-81.60957060683855
66,-84.3797944127968
67,-23.710135149354382
68,-34.614028926980296
69,-79.21712553878896
70,-73.57758529723885
71,-79.72787263962448
72,-72.40843486030607
73,-73.49862938479552
74,-24.580249391353636
75,-78.68532169254117
76,-74.03308765569082
77,-25.759931129726947
78,-23.8201286516976
79,-23.612755163862122
80,-70.83109658817037
81,-78.74652014607258
82,-73.17526621769153
83,-80.75229129179972
84,-22.630585952145285
85,-74.09672260435711
86,-28.933448955015407
87,-78.00376217424176
88,-78.43281165381569
89,-75.40054210880169
90,-81.11679170694448
91,-78.12681048428294
92,-71.45421213766468
93,-78.08471995404221
94,-74.13597354729843
95,-29.284927016318612
96,-27.360407353659575
97,-27.98746285377657
98,-17.652319893586814
99,-25.686381670907767
100,-76.09478501750607
101,-74.62204419526687
102,-77.39102066408634
103,-27.147574619309626
104,-35.13052081335024
105,-24.955026996329398
106,-78.43401201380513
107,-78.67852250924287
108,-30.807193058357235
109,-24.69473656820869
110,-77.08266387435609
111,-26.26746745143133
112,-77.16372983997434
113,-22.946097550788117
114,-31.76627664858003
115,-25.954029345478304
116,-33.40365438750356
117,-23.241487667688926
118,-16.004098292464832
119,-16.78327230877985
120,-82.14763843487185
121,-18.856937664254456
122,-16.05693144466114
123,-30.790977725930524
124,-17.17552134767199
125,-80.23203810232218
126,-34.474984349903664
127,-20.06845926811645
128,-20.155164578745108
129,-74.96710848174553
130,-26.554256286310096
131,-17.464646588959233
132,-28.078037382163917
133,-79.7576872479411
134,-75.81719325948558
135,-83.42328550448974
136,-81.86191619502728
137,-70.58365054817625
138,-31.976212007177818
139,-16.167017491169787
140,-35.979884480333844
141,-79.91659935863007
142,-85.00493015849942
143,-80.17398140849646
144,-22.087287882485
145,-84.93460909881338
146,-80.92111680257315
147,-74.13896825469237
148,-81.46699382776777
149,-79.51602154087038
150,-75.25295949515996
151,-76.63607653676756
152,-19.74386072691792
153,-109.01627107394299
154,-20.79219890078803
155,-66.40400276249602
156,-33.14299758576803
157,-20.36380098679431
158,-36.58586683653477
159,-64.777832036518
160,-108.22445590166835
161,-70.04361823902889
162,-15.42510822380919
163,26.169702065699376
164,-113.89517225111231
165,-10.57672734536434
166,-106.47386073720702
167,-29.56136540826017
168,1.439641896060607
169,-17.50840779265434
170,-24.341434308590888
171,-100.75358796083532
172,-160.71403367104818
173,-15.775979266667214
174,-116.56052388077484
175,-20.635309064561998
176,-32.16057752042834
177,-13.850556272549106
178,-20.460626714378677
179,-22.44863502999549
180,-19.84996882843131
181,-19.53655781979732
182,82.32726950754497
183,-21.4707997499205
184,-17.728143773679392
185,-18.372366905029622
186,-17.088150885580596
187,-17.18342921387722
188,-27.34691316882413
189,-14.522454816017756
190,-14.050311310829521
191,-15.692117877074196
192,-13.180554755578036
193,-13.040771269938993
194,-13.565652198345816
195,39.4945589892862
196,91.80054491935695
197,-16.02822881380054
198,37.13588466609143
199,35.84208862070374
200,-17.553732834192374
201,-21.31722900172433
202,-19.365908751206785
203,40.68289346271455
204,-27.424935799231783
205,-19.075170029963537
206,-23.1208193768283
207,-17.017591234655875
208,-19.386930442259523
209,-31.638950997364745
210,-19.12477852450442
211,29.659948570640907
212,-23.028785585202634
213,-30.219421323055645
214,-18.27870636315583
215,-25.652126650181426
216,-21.00823974394552
217,92.82347677168042
218,-17.65925153772755
219,-15.198926578789639
220,29.619141749602612
221,-33.886844892135315
222,-29.217193313028012
223,-14.554520372282745
224,36.82148413435362
225,-109.29962909000001
226,32.45542049628072
227,-15.160984421108388
228,-14.241930757096753
229,-19.53109298869587
230,-25.646270760140972
231,-18.57821233926826
232,-33.20855136196853
233,-23.068187756505
234,-33.99867223980346
235,-36.286732360900515
236,-29.16724000014428
237,-33.92429964699295
238,-96.990838394542
239,-36.25242776049308
240,-20.35337576038161
241,-12.878820773625264
242,-19.41582342782862
243,-33.144763286771166
244,-4.361547180895045
245,-16.356741157109184
246,-13.700355797709115
247,-14.518557401868271
248,405.49023890681883
249,-24.739074663107548
250,-26.958504382483216
251,-43.15100007669267
252,419.35398694107283
253,419.238906846133
254,405.85153962278935
255,38.79740712655009
256,35.44276559875015
257,44.86132999520084
258,418.8146381808907
259,407.99820842998037
260,95.5635386896553
261,409.831932100642
262,405.34345071773157
263,-45.33851699621577
264,44.091740786490526
265,100.74097823685631
266,97.98265603181943
267,43.69376747258425
268,149.52521791169193
269,-101.81004323709902
270,407.7196477808801
271,410.6514932000105
272,43.78316684599465
273,98.4759525128116
274,34.95245096626286
275,99.05802131867219
276,34.85082993414425
277,413.5763363804941
278,39.36723409093147
279,43.00846082326843
280,412.3141730430574
281,24.50811379294204
282,24.95996689886394
283,29.70405755691138
284,34.89221440901847
285,30.02821665062804
286,35.026187662123945
287,41.320359120625916
288,40.03310660676292
289,430.17660697894644
290,39.550280563120204
291,406.8052220279989
292,407.4933327029738
293,415.2134351318133
294,416.5029588852664
295,-39.75578935313531
296,410.530720912186
297,422.0839541820119
298,416.5120867186043
299,414.0111260975709
300,418.03160370166916
301,418.142978652216
302,419.5275651668723
303,418.01245545033305
304,420.43829911181797
305,-39.23874832180945
306,417.31289379879826
307,-38.560316303713876
308,418.7038939174215
309,416.5437708121693
310,418.76431947536236
311,419.24956939086877
312,420.2927552816735
313,421.0192522241308
314,420.66941693267086
315,-88.37032616998643
316,419.63114231648126
317,419.14044136884877
318,416.34418055869935
319,416.37676523178567
320,416.9176247652223
321,420.19275535687854
322,420.2124704232207
323,417.88835780212463
324,419.59212546887716
325,418.03162406776937
326,419.8283063353184
327,-39.76969963399219
328,418.7684490237898
329,-42.60182964642824
330,-42.96597318518785
331,416.8612539678573
332,416.7563099953564
333,-90.0105660353362
334,416.0983449189491
335,419.28083330553164
336,418.93290243401464
337,418.95282053796564
338,418.4707029865003
339,416.69014640395073
340,415.46627919799835
341,417.02160389239066
342,418.72521712270674
343,419.5311277408364
344,417.0644097092396
345,413.1899426946397
346,416.8612098068193
347,415.7235758032089
348,410.6997276711088
349,413.85418490519976
350,-48.42200093799474
351,407.6580877864637
352,401.9639011324181
353,414.8215144106197
354,416.64265800298773
355,409.5894264352221
356,408.8771674444742
357,-157.69219414178767
358,409.0420958109877
359,416.5102356556633
360,416.28047179324307
361,415.57231858779636
362,-90.7387808497252
363,415.52591952535386
364,413.3798172958782
365,416.075983510547
366,414.29140276250723
367,417.1393631191786
368,420.5438343780006
369,413.8293167557324
370,413.756655575369
371,417.6247976339208
372,408.5964054250444
373,416.4676081107997
374,413.91184640053837
375,411.6385486045603
376,420.3747408534821
377,414.8076351622383
378,416.4104890662829
379,416.4897389709079
380,416.26911116767474
381,414.26198908045217
382,420.4783684795184
383,416.00386248166126
384,418.57870057673256
385,417.9469036583932
386,418.308820130821
387,415.7552088557741
388,417.5799016098481
389,418.1151825586812
390,419.6266174157854
391,415.5466519622503
392,410.4604733814581
393,420.4584847200615
394,419.7246075491987
395,416.69166630672294
396,416.42693549028644
397,414.9708784869227
398,415.95981746853397
399,420.43999024040414
400,413.08644343470667
401,417.6062506605806
402,414.09920484421934
403,415.13749742883033
404,417.31296773630436
405,418.1556317990101
406,406.64529445619246
407,409.4522418960821
408,415.0130525396401
409,96.35097847169314
410,410.3378453665046
411,414.47475024521765
412,410.1841193815468
413,412.47124681877426
414,-20.361098707026976
415,-16.779122824086834
416,-16.679915230300963
417,412.93119426353815
418,-21.56891316916635
419,414.0281271170166
420,-20.11497290963389
421,-17.204205278738584
422,415.06571475136394
423,415.6704372875428
424,415.11504466906024
425,406.4623267692349
426,411.27019120561795
427,39.9801732955254
428,407.10597885303326
429,416.79207967913726
430,414.6668022573642
431,411.6456036784547
432,-20.079038173769693
433,-22.167171669863926
434,93.80973762932908
435,-16.586361824957386
436,-16.862053427171624
437,398.35606183527807
438,-16.353991957788892
439,-19.17354674707733
440,418.63864971947453
441,-17.3826413106842
