episode,return
1,-12.438454939628095
2,-180.22346489178634
3,-221.95311113434838
4,-180.90613091113516
5,-10.654732580438065
6,-83.87019337025605
7,-63.56510888454437
8,-169.7031401544657
9,-170.7554497264361
10,-79.26325854643517
11,-60.250854724722316
12,-182.50033550303846
13,-22.16140777996148
14,-177.6634396240742
15,-183.8026712439681
16,-186.80824812737734
17,-178.37379959292576
18,-161.3788798704821
19,-185.60135975596472
20,-164.91019826666488
21,-174.79733356142876
22,-177.57530971579934
23,-72.01629642066416
24,-161.78251037085528
25,-62.37538764917917
26,-176.13726261814952
27,-112.04577737534854
28,-81.27115791446317
29,-172.4745271254107
30,-171.8558851139229
31,-188.74825307733624
32,-75.62383298368249
33,-161.46039953612194
34,-168.4586245195511
35,-107.45530722969684
36,-70.72430777380254
37,-21.187811880645572
38,-167.96099065584326
39,-10.451494771246033
40,-184.008263610644
41,-134.01944530038006
42,-16.482305864996164
43,-163.46937918903365
44,-174.8294846697894
45,-173.77281515965225
46,-188.7632786671302
47,48.72608904156267
48,-51.023659510772106
49,-69.67517448165162
50,-172.1966477229169
51,-11.095657520976737
52,-179.99797599956577
53,-11.644195143413384
54,107.93787361447296
55,-177.95050157294736
56,-31.11516894526205
57,-103.91544613012877
58,-164.4331844025331
59,-178.3787068023471
60,-181.7859766181236
61,-135.23242761244458
62,-169.86770836659136
63,-178.17280548665212
64,-107.39968452865247
65,-77.77015458248917
66,-104.85785257444843
67,-102.76171770547967
68,-12.105419268582658
69,-56.73409089708433
70,-20.324274465435437
71,-178.4685466499842
72,-126.11572171023586
73,-187.408380499383
74,-71.50407645823095
75,-109.44800924017096
76,-16.501696315047944
77,-68.82159154561168
78,-17.660633955806006
79,-65.59786981310555
80,-74.34714954988155
81,-12.704222943113038
82,-79.86248920655436
83,-82.6696907228544
84,-169.91189323923192
85,-23.825135921329533
86,-10.297621350938073
87,-66.4727327821288
88,-65.53328279384564
89,-59.32932261979026
90,-63.41444181155502
91,-17.925780110418167
92,-13.243022958612968
93,-12.160644014925417
94,-62.006499277640685
95,-65.39808563101658
96,-62.264402017492316
97,-59.968088440740814
98,-20.099295198256694
99,-60.84846635716562
100,-18.561961642018247
101,-17.13008388414284
102,-61.73443005901926
103,-14.703367577205327
104,-66.29064406359737
105,-63.403714727128026
106,-63.55323422793281
107,-14.424080332232911
108,-64.25148486535267
109,-64.07165085582471
110,45.846755183882564
111,-63.28240812004415
112,-14.457971062964312
113,-11.989584589549807
114,-14.333083728270125
115,-74.45335663747015
116,-14.252046717645328
117,-21.593926360568236
118,-68.31971013112474
119,-64.83807747547033
120,-67.57021160820517
121,-64.29851854489814
122,-65.31906302575769
123,-19.058410174261542
124,-64.70625857466494
125,-70.26746428869603
126,-22.340767609062592
127,-69.76518702299828
128,-73.15814986204211
129,-75.49900081367535
130,-65.20064529530785
131,-66.56248454390915
132,-18.75984884764277
133,-65.47344149128185
134,-14.709062785459814
135,-61.503159752044134
136,-64.48580744930605
137,-14.085458583673194
138,-18.370804387349125
139,-63.41711108767418
140,-67.19254541798455
141,-16.44664511876845
142,-63.874939984562076
143,-69.49153885693894
144,-66.49192857644532
145,-19.001900891627592
146,-64.85946783424279
147,-66.72995409627421
148,43.681162996968276
149,-64.31205593353009
150,-69.08261219995865
151,-59.113869036544564
152,-66.33863353462108
153,-69.75530706907672
154,-11.439578593011149
155,-65.84123718857884
156,-68.54630028212942
157,-9.711701731627919
158,-23.742695531547973
159,-12.909170068854046
160,-10.38871932500902
161,-58.62169708379599
162,-66.94454704363048
163,-22.323670475131536
164,-13.60748666450516
165,-67.78062196381933
166,-16.971179357090783
167,-70.1636905935849
168,-73.63686242234391
169,-27.19044052452225
170,-17.53683641668548
171,-13.648428382542704
172,42.40598031663554
173,-67.9548676142042
174,-19.64582631993795
175,40.616807291429495
176,-85.10858473880741
177,-174.0045209214874
178,-70.58997054851945
179,-79.67294309538478
180,-79.55944981022469
181,-77.26916942380771
182,-3.747619968791959
183,37.436745119174965
184,-78.24376456611107
185,-62.42289845569146
186,-22.24549868140792
187,-11.750384237455542
188,-13.906034787812835
189,-71.74185403056686
190,-17.82921723231644
191,-75.0711454742767
192,-23.671119726464358
193,-15.983408591448296
194,-14.08525884445379
195,-26.8326543287413
196,-19.649316271698645
197,-61.012398910678485
198,-5.844808927845101
199,-12.194163327650088
200,-7.4475765530477815
201,-15.234671708701676
202,-8.309555776013482
203,-16.312655442775103
204,-24.329951650703123
205,-11.79475133495032
206,-22.84848851651229
207,-64.26807852580907
208,-15.22331708713213
209,-74.44857347718374
210,-28.001771730823922
211,-8.597015896521363
212,-66.63499196945514
213,-27.117001435391327
214,-22.908546754300566
215,-23.808842822220047
216,-16.647921945313016
217,-27.878623734793255
218,-8.135584154065363
219,-59.484168622729825
220,-15.091028543097025
221,-73.87694866615362
222,-26.650250883195174
223,-17.053594271087107
224,-77.9313786176107
225,-21.9397125582649
226,-75.72045345345546
227,-23.615213049343748
228,-27.663806510179775
229,-21.172540151707253
230,-17.815358993469253
231,-19.471013264564185
232,-19.089467702465384
233,-23.458545976814882
234,-9.33528104417121
235,-6.78822860901505
236,-12.762162863414758
237,-25.760443978734735
238,-11.704453202045833
239,-26.58040166633484
240,-20.483566276620394
241,-24.29539467259793
242,-7.386881048724746
243,-9.076010482495512
244,-17.594293715806394
245,-21.67101837172541
246,-10.504911792333779
247,-20.03395333769899
248,-9.680598250795356
249,-13.654515696444662
250,-22.370469182414766
251,-12.033234110095123
252,-9.853708009481352
253,-9.803052484526106
254,-8.367070016070976
255,-14.100430240404478
256,-12.89579285934822
257,-10.332654419646488
258,-4.964223484751308
259,-25.54689454517719
260,-64.15403897228887
261,-63.03214289459167
262,-25.63255987043443
263,-59.91383160373989
264,-23.924441218175673
265,-18.714049360359613
266,-22.423378817827054
267,-70.4309662434334
268,-8.364414287976391
269,-61.94582420366691
270,-59.645918181708524
271,-7.372797238679496
272,-16.88989529411719
273,-23.189176897838156
274,-8.87849682213038
275,-12.631803591566388
276,-12.137254550444915
277,-12.099120808134927
278,-15.408800407801373
279,-9.031257783986597
280,-8.780004266109096
281,-10.1340722309467
