episode,return
1,-158.99594483078897
2,-170.6869032907505
3,-159.46103278294558
4,-165.23248108768345
5,-100.74426586449415
6,-174.78626632453015
7,-186.28855403734772
8,-117.18875659285911
9,-138.29971192263574
10,-21.67222529645835
11,-179.00475310408723
12,-166.22031428018605
13,-177.77078436873708
14,-82.6757909217433
15,-178.87713110881617
16,-152.1558362361403
17,-179.44333514948516
18,-190.15515518735674
19,-111.41314479069646
20,-159.08683061684587
21,-104.717320989841
22,-45.575655837550315
23,-160.89778165419006
24,-21.17455713327521
25,-114.02974718261024
26,-173.73091792525986
27,-172.16743455190633
28,-107.8154913947032
29,-163.66848908708317
30,-157.50182209544838
31,-173.95730965954604
32,-105.32264828871712
33,-155.2188684010577
34,-176.67003470120025
35,-137.1560255417073
36,-172.12248121151623
37,-94.00006906947623
38,-175.845171656793
39,-123.74204057970017
40,-153.65381387751506
41,-176.40567411233278
42,-159.41126920683212
43,-96.62625332525239
44,-177.38837594591928
45,-172.79004622036427
46,-95.01587311892315
47,-112.62586494802537
48,-94.79385272102459
49,-177.96987893737426
50,-171.60933436905722
51,-173.2064767720803
52,-180.92170722755648
53,-168.00138636483234
54,-160.1787023521029
55,-124.33515972414435
56,-163.4584527066101
57,-128.26520781575624
58,-100.32387193369652
59,-166.48835333446578
60,-110.31000089094715
61,-101.02208765681894
62,-177.95752464192614
63,-157.18394999853035
64,-129.13781571008528
65,-172.08960711592684
66,-106.6557387002785
67,-157.80000603231335
68,-40.16278388756534
69,-179.81840175769554
70,-172.3967990562385
71,-169.36088005981944
72,-163.93395612180947
73,-128.81690857569427
74,-127.54664371496091
75,-117.85609035070482
76,-115.05658241947799
77,-102.81067087822558
78,-68.20618329600853
79,-33.01976926928751
80,-16.72706239662542
81,-26.48472721504492
82,-75.42042921887956
83,-19.66835365807549
84,-78.08032115574758
85,-70.19698229733824
86,-74.84711285747336
87,-75.60706435035509
88,-24.830353280385633
89,-77.23352228690803
90,-72.83845530740456
91,-75.91180696843855
92,-80.71243832183386
93,-18.24048271170452
94,-78.2720445875755
95,-78.38812163674265
96,-70.49084656274522
97,-75.30321417579586
98,-71.91810225514172
99,-72.16609095256845
100,-83.65863947186973
101,-75.36060154423764
102,-70.78167027621905
103,-33.757749067462086
104,-35.19842906469342
105,-81.98863548149367
106,-75.79826149440727
107,91.0613737049234
108,-82.17853053076279
109,-72.96095921154343
110,-91.531774122363
111,-68.82685582470441
112,-87.60556045202668
113,-71.14968767778447
114,-90.2201031743611
115,-21.412354666577137
116,-73.38591349981816
117,-87.51199821418734
118,-80.4526971346172
119,-22.402145957761697
120,-16.128624858686187
121,-37.862193818372255
122,-76.04336800534716
123,-77.21235491425327
124,-18.381241661393673
125,-75.67655536321041
126,-25.16071264555988
127,-69.60927049520679
128,-26.06940199194571
129,-81.80413092044188
130,-76.40890535777756
131,-75.03102151676424
132,-29.11689042769163
133,-29.72465258829521
134,-25.875364076472735
135,-23.75224069667412
136,-31.305871252740598
137,-11.797356313666796
138,-17.244455171945326
139,-19.98994628903722
140,-30.644296910849455
141,-79.70385151363465
142,-14.485601876340525
143,-34.559078165060335
144,-37.87966024790676
145,-78.8972167318456
146,-84.48056525454271
147,-61.83415195722724
148,-82.00897429938536
149,-87.66176261886946
150,-27.60989219246473
151,-71.03137352201978
152,-81.45335323253651
153,-86.69817261361815
154,-85.77604794712255
155,-79.12436069820663
156,-70.94172982851236
157,-85.88326100964275
158,-87.16848354762124
159,-31.394008292898892
160,-75.15115767009448
161,-36.91256279351267
162,-73.47648169743718
163,-78.22010484362251
164,-80.39096199023962
165,-86.75884299273798
166,-77.51383267387646
167,-110.95273867244298
168,-79.88183088344661
169,-85.42610100680113
170,-85.39417136035338
171,-87.23735374942524
172,-72.41542270715007
173,-72.65913408386383
174,-75.9001086007445
175,-70.7279256153298
176,-89.94925706605608
177,-82.20108493133154
178,-33.38070146069646
179,-85.91472231960532
180,-37.22329085009205
181,-4.493305713626171
182,-36.46560656057642
183,-34.23879208700837
184,-28.707093565954757
185,-20.367509706595495
186,-28.60398505802672
187,-17.494715272524125
188,-40.41370475693887
189,-31.630333382838774
190,-87.34237845377926
191,-63.60991722689377
192,-13.925916933309061
193,-84.42982119358886
194,-77.4993835526847
195,-16.574017518706576
196,-19.007217932544844
197,-84.28448888244611
198,-69.66178047490277
199,-73.34736708759839
200,-27.085424381855727
201,-74.92062893630619
202,-28.408471292294195
203,-77.7048585616688
204,-79.16700712819814
205,-80.22980051087525
206,-76.42983635808638
207,-78.00113830779974
208,-76.66034295339159
209,-18.779191215156953
210,-73.42303428915753
211,-77.11935294916107
212,-22.712848938511776
213,-28.831778079336658
214,-19.060315606547853
215,-76.01558341606184
216,-18.995422447311622
217,-29.362195674781386
218,-22.452429019072607
219,-17.791124647198302
220,-27.701146376016766
221,-24.672597268791254
222,-18.226893114914898
223,-26.495390505468155
224,-27.493356333927746
225,-27.268454529227906
226,-18.357925838549342
227,-24.50118883926782
228,-26.01316634127975
229,-25.903266143915097
230,-19.946959503035224
231,-24.273271256269307
232,-24.02757254016205
233,-20.82014713541929
234,-23.304306626229547
235,-28.269445997346658
236,-23.53100354991606
237,-24.57214699594192
238,-17.076455867502183
239,-36.610372829074095
240,-80.83756770364155
241,-81.26543877899076
242,-24.487932533202674
243,-81.23221852591864
244,-31.76173515723392
245,-32.190764863852465
246,-23.712298639436202
247,-124.9084322399306
248,-128.9705263637015
249,-118.41866552483026
250,-22.411352793050582
251,-23.53985531989835
252,-21.02001593619149
253,-27.476616392519524
254,-22.436233979169977
255,-21.615396088493632
256,-24.551020718469495
257,-21.966672868059632
258,-22.857749882321663
259,-24.084867804814746
260,-19.681927875654985
261,-22.029152927577492
262,-113.55900834487142
263,-115.89706081303245
264,-102.77381694744969
265,-100.39799346091783
266,-16.45553490328571
267,-17.582186546519935
268,-16.416965598412062
269,-102.69291919645683
270,-22.416621549841032
271,-20.582901941775344
272,-19.85262447699492
273,-21.84649133417128
274,-19.087696278976114
275,-21.6265933602606
276,-18.812728617409565
277,-17.13318029072895
278,-21.688885836161294
279,-19.90731101476699
280,-25.53360153163921
281,-24.322958977273938
282,-133.6180361766107
283,-21.968113597957995
284,-29.61175553275903
285,-17.83934790946941
286,-129.11115528556866
287,-125.67997642444485
288,-25.894996145226898
289,-18.078110933067645
290,-27.00761607435961
291,-19.48077194545161
292,-19.2161370812437
293,-20.387965885638216
294,-23.616889145880357
295,-22.26290682553896
296,-20.49296407729394
297,-22.646343441352567
298,-21.096845822666328
299,-23.683929296222388
300,-22.62763093708599
301,-20.499150889774985
302,-24.885329064940002
303,-25.50294057826751
304,-22.486261944922852
305,-24.28580336671923
306,-23.94682882890335
307,-91.98109718221171
308,-20.073674291765688
309,-22.746261159166245
310,-18.571111865318553
311,-44.68608349157367
312,-58.73688035537421
313,-16.271715033045098
314,-13.838782586704617
315,415.7832103626332
316,-89.68997327054005
317,417.9847449645182
318,-38.681186138375594
319,-39.065334758814146
320,-47.89924921277489
321,-94.14816995747805
322,-40.53980324907165
323,-43.927192115927454
324,-43.14783431711112
325,-54.107253302299114
326,409.12426047294355
327,417.01595024287025
328,-43.022422305517
329,412.8927385638308
330,408.3133787831759
331,416.70445885023014
332,403.1284913250515
333,415.26843115695834
334,-42.34369972991175
335,423.7437508549064
336,413.1316916801227
337,405.6778870554979
338,414.5737189392756
339,405.67500443944505
340,-73.79956389145416
341,-73.46151606158755
342,-68.55884806416279
343,91.61349402560172
344,-72.49431840157064
345,-82.58031642164707
346,-69.75103848908816
347,-75.67330751192364
348,90.86121437280204
349,150.46058566453
350,411.25475497537826
351,410.30339334797964
352,408.51551443406584
353,409.7724537157626
354,404.0889467168114
355,147.6375301734234
356,409.4650123716691
357,410.4428218226252
358,410.3602053081088
359,39.93910111309255
360,-19.71182818307982
361,408.64437246439405
362,-109.08197331340487
363,-10.892638170536507
364,-126.46802144146734
365,418.941521351898
366,-16.018013426552045
367,413.5353103749122
368,417.74433036979065
369,410.58017319222097
370,47.86942343785645
371,-13.010857620111892
372,-33.06232681984363
373,-106.19291925825956
374,408.9120666022752
375,45.1104998417003
376,409.45139153557864
377,413.40611215211925
378,411.00601119951716
379,410.8214157205082
380,-15.75280789849269
381,415.4860107861392
382,412.3674769285632
383,413.3005424023651
