episode,return
1,-142.0
2,-106.0
3,-108.0
4,-145.0
5,-108.0
6,-108.0
7,-150.0
8,-160.0
9,-163.0
10,-108.0
11,-108.0
12,-109.0
13,-152.0
14,-106.0
15,-147.0
16,-143.0
17,-109.0
18,-155.0
19,-106.0
20,-108.0
21,-85.0
22,-113.0
23,-110.0
24,-108.0
25,-108.0
26,-108.0
27,-106.0
28,-154.0
29,-109.0
30,-152.0
31,-156.0
32,-159.0
33,-107.0
34,-156.0
35,-112.0
36,-108.0
37,-148.0
38,-108.0
39,-108.0
40,-109.0
41,-107.0
42,-148.0
43,-148.0
44,-109.0
45,-109.0
46,-152.0
47,-108.0
48,-112.0
49,-147.0
50,-154.0
51,-106.0
52,-111.0
53,-109.0
54,-108.0
55,-107.0
56,-109.0
57,-109.0
58,-109.0
59,-111.0
60,-157.0
61,-107.0
62,-93.0
63,-90.0
64,-108.0
65,-87.0
66,-109.0
67,-112.0
68,-86.0
69,-108.0
70,-83.0
71,-111.0
72,-111.0
73,-113.0
74,-89.0
75,-113.0
76,-113.0
77,-109.0
78,-115.0
79,-112.0
80,-84.0
81,-115.0
82,-114.0
83,-111.0
84,-108.0
85,-110.0
86,-94.0
87,-112.0
88,-111.0
89,-113.0
90,-93.0
91,-110.0
92,-111.0
93,-110.0
94,-100.0
95,-113.0
96,-110.0
97,-87.0
98,-110.0
99,-159.0
100,-90.0
101,-111.0
102,-110.0
103,-111.0
104,-83.0
105,-112.0
106,-111.0
107,-110.0
108,-110.0
109,-114.0
110,-101.0
111,-83.0
112,-112.0
113,-113.0
114,-112.0
115,-96.0
116,-110.0
117,-112.0
118,-110.0
119,-114.0
120,-85.0
121,-111.0
122,-115.0
123,-83.0
124,-112.0
125,-102.0
126,-90.0
127,-167.0
128,-91.0
129,-112.0
130,-114.0
131,-163.0
132,-112.0
133,-171.0
134,-146.0
135,-84.0
136,-163.0
137,-98.0
138,-91.0
139,-105.0
140,-117.0
141,-155.0
142,-112.0
143,-112.0
144,-111.0
145,-90.0
146,-170.0
147,-115.0
148,-114.0
149,-111.0
150,-151.0
151,-113.0
152,-111.0
153,-84.0
154,-115.0
155,-114.0
156,-115.0
157,-83.0
158,-165.0
159,-102.0
160,-116.0
161,-111.0
162,-113.0
163,-114.0
164,-112.0
165,-170.0
166,-94.0
167,-83.0
168,-102.0
169,-113.0
170,-89.0
171,-114.0
172,-113.0
173,-114.0
174,-112.0
175,-93.0
176,-171.0
177,-150.0
178,-101.0
179,-115.0
180,-99.0
181,-113.0
182,-89.0
183,-111.0
184,-83.0
185,-146.0
186,-111.0
187,-153.0
188,-112.0
189,-85.0
190,-152.0
191,-113.0
192,-111.0
193,-111.0
194,-145.0
195,-149.0
196,-112.0
197,-83.0
198,-87.0
199,-156.0
200,-86.0
201,-111.0
202,-112.0
203,-85.0
204,-86.0
205,-114.0
206,-115.0
207,-116.0
208,-85.0
209,-156.0
210,-112.0
211,-155.0
212,-112.0
213,-176.0
214,-162.0
215,-149.0
216,-159.0
217,-182.0
218,-98.0
219,-149.0
220,-112.0
221,-101.0
222,-148.0
223,-115.0
224,-152.0
225,-112.0
226,-87.0
227,-112.0
228,-112.0
229,-149.0
230,-113.0
231,-112.0
232,-111.0
233,-91.0
234,-116.0
235,-92.0
236,-111.0
237,-153.0
238,-112.0
239,-114.0
240,-116.0
241,-200.0
242,-83.0
243,-116.0
244,-113.0
245,-147.0
246,-111.0
247,-158.0
248,-149.0
249,-112.0
250,-161.0
251,-154.0
252,-86.0
253,-108.0
254,-198.0
255,-162.0
256,-147.0
257,-149.0
258,-149.0
259,-84.0
260,-88.0
261,-144.0
262,-85.0
263,-174.0
264,-148.0
265,-179.0
266,-148.0
267,-99.0
268,-92.0
269,-149.0
270,-85.0
271,-149.0
272,-163.0
273,-153.0
274,-162.0
275,-148.0
276,-102.0
277,-158.0
278,-96.0
279,-152.0
280,-171.0
281,-155.0
282,-154.0
283,-200.0
284,-152.0
285,-87.0
286,-200.0
287,-88.0
288,-91.0
289,-153.0
290,-154.0
291,-163.0
292,-152.0
293,-152.0
294,-123.0
295,-155.0
296,-155.0
297,-87.0
298,-97.0
299,-152.0
300,-158.0
301,-97.0
302,-150.0
303,-93.0
304,-154.0
305,-96.0
306,-155.0
307,-97.0
308,-91.0
309,-153.0
310,-148.0
311,-92.0
312,-152.0
313,-200.0
314,-155.0
315,-179.0
316,-99.0
317,-85.0
318,-84.0
319,-93.0
320,-153.0
321,-90.0
322,-153.0
323,-96.0
324,-91.0
325,-153.0
326,-94.0
327,-85.0
328,-153.0
329,-85.0
330,-107.0
331,-152.0
332,-84.0
333,-83.0
334,-103.0
335,-153.0
336,-92.0
337,-85.0
338,-84.0
339,-84.0
340,-166.0
341,-152.0
342,-153.0
343,-154.0
344,-153.0
345,-153.0
346,-104.0
347,-155.0
348,-157.0
349,-157.0
350,-163.0
351,-156.0
352,-155.0
353,-158.0
354,-163.0
355,-83.0
356,-154.0
357,-155.0
358,-154.0
359,-94.0
360,-86.0
361,-111.0
362,-99.0
363,-163.0
364,-101.0
365,-164.0
366,-157.0
367,-157.0
368,-163.0
369,-156.0
370,-154.0
371,-84.0
372,-192.0
373,-88.0
374,-153.0
375,-164.0
376,-95.0
377,-159.0
378,-94.0
379,-157.0
380,-90.0
381,-113.0
382,-153.0
383,-175.0
384,-100.0
385,-93.0
386,-150.0
387,-152.0
388,-153.0
389,-88.0
390,-85.0
391,-168.0
392,-181.0
393,-94.0
394,-152.0
395,-157.0
396,-88.0
397,-152.0
398,-179.0
399,-154.0
400,-102.0
401,-84.0
402,-189.0
403,-155.0
404,-87.0
405,-151.0
406,-98.0
407,-84.0
408,-167.0
409,-85.0
410,-163.0
411,-200.0
412,-84.0
413,-97.0
414,-178.0
415,-88.0
416,-154.0
417,-198.0
418,-102.0
419,-152.0
420,-88.0
421,-99.0
422,-112.0
423,-88.0
424,-84.0
425,-152.0
426,-153.0
427,-85.0
428,-152.0
429,-88.0
430,-87.0
431,-93.0
432,-90.0
433,-153.0
434,-87.0
435,-154.0
436,-171.0
437,-162.0
438,-200.0
439,-153.0
440,-153.0
441,-83.0
442,-85.0
443,-112.0
444,-155.0
445,-163.0
446,-153.0
447,-168.0
448,-173.0
449,-153.0
450,-154.0
451,-100.0
452,-106.0
453,-178.0
454,-85.0
455,-169.0
456,-90.0
457,-156.0
458,-152.0
459,-158.0
460,-87.0
461,-152.0
462,-109.0
463,-151.0
464,-102.0
465,-86.0
466,-98.0
467,-83.0
468,-88.0
469,-157.0
470,-93.0
471,-153.0
472,-153.0
473,-154.0
474,-84.0
475,-85.0
476,-96.0
477,-123.0
478,-96.0
479,-153.0
480,-162.0
481,-84.0
482,-154.0
483,-93.0
484,-153.0
485,-153.0
486,-153.0
487,-154.0
488,-85.0
489,-157.0
490,-154.0
491,-161.0
492,-83.0
493,-86.0
494,-85.0
495,-161.0
496,-88.0
497,-156.0
498,-154.0
499,-155.0
500,-165.0
