episode,return
1,19.0
2,23.0
3,19.0
4,46.0
5,16.0
6,21.0
7,10.0
8,20.0
9,43.0
10,10.0
11,18.0
12,18.0
13,13.0
14,29.0
15,31.0
16,12.0
17,22.0
18,14.0
19,12.0
20,9.0
21,13.0
22,29.0
23,13.0
24,12.0
25,10.0
26,12.0
27,9.0
28,17.0
29,10.0
30,10.0
31,10.0
32,14.0
33,10.0
34,10.0
35,16.0
36,9.0
37,11.0
38,11.0
39,10.0
40,8.0
41,18.0
42,14.0
43,13.0
44,16.0
45,12.0
46,17.0
47,10.0
48,15.0
49,14.0
50,12.0
51,10.0
52,9.0
53,11.0
54,15.0
55,19.0
56,14.0
57,9.0
58,9.0
59,12.0
60,15.0
61,19.0
62,21.0
63,36.0
64,23.0
65,11.0
66,21.0
67,12.0
68,41.0
69,15.0
70,13.0
71,15.0
72,15.0
73,15.0
74,19.0
75,19.0
76,12.0
77,12.0
78,13.0
79,32.0
80,11.0
81,14.0
82,29.0
83,27.0
84,32.0
85,43.0
86,82.0
87,67.0
88,19.0
89,23.0
90,16.0
91,17.0
92,30.0
93,19.0
94,22.0
95,24.0
96,75.0
97,19.0
98,25.0
99,25.0
100,74.0
101,84.0
102,53.0
103,60.0
104,30.0
105,110.0
106,63.0
107,59.0
108,32.0
109,28.0
110,34.0
111,36.0
112,103.0
113,73.0
114,150.0
115,88.0
116,40.0
117,84.0
118,62.0
119,34.0
120,41.0
121,64.0
122,55.0
123,67.0
124,83.0
125,167.0
126,88.0
127,191.0
128,58.0
129,66.0
130,108.0
131,22.0
132,82.0
133,88.0
134,28.0
135,200.0
136,28.0
137,50.0
138,81.0
139,198.0
140,39.0
141,110.0
142,120.0
143,64.0
144,200.0
145,140.0
146,200.0
147,120.0
148,39.0
149,64.0
150,38.0
151,31.0
152,43.0
153,31.0
154,63.0
155,34.0
156,59.0
157,71.0
158,105.0
159,130.0
160,92.0
161,200.0
162,174.0
163,200.0
164,200.0
165,200.0
166,76.0
167,200.0
168,200.0
169,200.0
170,192.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,200.0
177,41.0
178,32.0
179,27.0
180,31.0
181,134.0
182,113.0
183,130.0
184,152.0
185,200.0
186,200.0
187,170.0
188,167.0
189,185.0
190,182.0
191,159.0
192,177.0
193,200.0
194,200.0
195,200.0
196,183.0
197,200.0
198,191.0
199,105.0
200,200.0
201,200.0
202,200.0
203,142.0
204,165.0
205,172.0
206,200.0
207,59.0
208,156.0
209,152.0
210,181.0
211,181.0
212,172.0
213,146.0
214,168.0
215,200.0
216,200.0
217,200.0
218,200.0
219,200.0
220,71.0
221,100.0
222,136.0
223,116.0
224,161.0
225,200.0
226,200.0
227,200.0
228,200.0
229,200.0
230,200.0
231,200.0
232,200.0
233,200.0
234,200.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,200.0
242,163.0
243,17.0
244,107.0
245,19.0
246,148.0
247,200.0
248,200.0
249,200.0
250,200.0
251,150.0
252,200.0
253,200.0
254,200.0
255,200.0
256,200.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,200.0
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,200.0
275,200.0
276,200.0
277,200.0
278,200.0
279,200.0
280,200.0
281,198.0
282,200.0
283,179.0
284,144.0
285,125.0
286,13.0
287,11.0
288,71.0
289,200.0
290,200.0
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,200.0
297,200.0
298,200.0
299,200.0
300,200.0
301,200.0
302,200.0
303,200.0
304,200.0
305,194.0
306,200.0
307,200.0
308,200.0
309,200.0
310,200.0
311,136.0
312,106.0
313,34.0
314,25.0
315,17.0
316,14.0
317,13.0
318,18.0
319,105.0
320,181.0
321,200.0
322,200.0
323,200.0
324,200.0
325,200.0
326,200.0
327,200.0
328,200.0
329,200.0
330,200.0
331,200.0
332,200.0
333,200.0
334,189.0
335,200.0
336,200.0
337,200.0
338,200.0
339,200.0
340,200.0
341,200.0
342,200.0
343,200.0
344,200.0
345,200.0
346,200.0
347,200.0
348,200.0
349,200.0
350,189.0
351,200.0
352,200.0
353,182.0
354,191.0
355,200.0
356,191.0
357,166.0
358,182.0
359,181.0
360,200.0
361,200.0
362,200.0
363,200.0
364,200.0
365,200.0
366,200.0
367,200.0
368,174.0
369,186.0
370,200.0
371,200.0
372,200.0
373,200.0
374,200.0
375,200.0
376,200.0
377,200.0
378,200.0
379,200.0
380,200.0
381,187.0
382,200.0
383,195.0
384,173.0
385,159.0
386,198.0
387,200.0
388,200.0
389,200.0
390,200.0
391,181.0
392,197.0
393,200.0
394,192.0
395,191.0
396,177.0
397,200.0
398,200.0
399,192.0
400,174.0
401,175.0
402,181.0
403,150.0
404,114.0
405,105.0
406,122.0
407,134.0
408,118.0
409,125.0
410,137.0
411,126.0
412,125.0
413,160.0
414,152.0
415,179.0
416,161.0
417,183.0
418,200.0
419,182.0
420,173.0
421,197.0
422,200.0
423,200.0
424,200.0
425,190.0
426,14.0
427,135.0
428,170.0
429,192.0
430,199.0
431,200.0
432,166.0
433,184.0
434,200.0
435,200.0
436,200.0
437,200.0
438,196.0
439,173.0
440,200.0
441,200.0
442,200.0
443,200.0
444,154.0
445,180.0
446,186.0
447,200.0
448,162.0
449,200.0
450,200.0
451,166.0
452,158.0
453,170.0
454,158.0
455,136.0
456,145.0
457,162.0
458,172.0
459,178.0
460,183.0
461,200.0
462,195.0
463,157.0
464,130.0
465,136.0
466,133.0
467,195.0
468,194.0
469,166.0
470,200.0
471,200.0
472,200.0
473,200.0
474,200.0
475,197.0
476,200.0
477,200.0
478,200.0
479,200.0
480,200.0
481,169.0
482,200.0
483,200.0
484,200.0
485,200.0
486,179.0
487,179.0
488,200.0
489,200.0
490,194.0
491,200.0
492,176.0
493,156.0
494,165.0
495,198.0
496,200.0
497,200.0
498,176.0
499,179.0
500,194.0
