episode,return
1,10.0
2,9.0
3,10.0
4,9.0
5,9.0
6,10.0
7,10.0
8,10.0
9,9.0
10,10.0
11,10.0
12,8.0
13,10.0
14,9.0
15,10.0
16,10.0
17,9.0
18,10.0
19,9.0
20,10.0
21,10.0
22,9.0
23,10.0
24,9.0
25,9.0
26,10.0
27,9.0
28,9.0
29,10.0
30,8.0
31,10.0
32,9.0
33,10.0
34,10.0
35,9.0
36,9.0
37,8.0
38,8.0
39,9.0
40,8.0
41,10.0
42,10.0
43,9.0
44,10.0
45,9.0
46,9.0
47,10.0
48,11.0
49,10.0
50,9.0
51,10.0
52,9.0
53,10.0
54,9.0
55,9.0
56,11.0
57,9.0
58,9.0
59,9.0
60,9.0
61,10.0
62,9.0
63,9.0
64,10.0
65,9.0
66,10.0
67,11.0
68,8.0
69,9.0
70,10.0
71,8.0
72,10.0
73,8.0
74,10.0
75,9.0
76,9.0
77,10.0
78,9.0
79,10.0
80,10.0
81,9.0
82,10.0
83,10.0
84,8.0
85,9.0
86,9.0
87,9.0
88,8.0
89,9.0
90,10.0
91,9.0
92,9.0
93,9.0
94,10.0
95,11.0
96,9.0
97,10.0
98,10.0
99,9.0
100,10.0
101,9.0
102,10.0
103,9.0
104,10.0
105,9.0
106,10.0
107,8.0
108,11.0
109,10.0
110,8.0
111,10.0
112,9.0
113,9.0
114,9.0
115,10.0
116,10.0
117,9.0
118,10.0
119,9.0
120,10.0
121,9.0
122,11.0
123,8.0
124,8.0
125,10.0
126,9.0
127,10.0
128,10.0
129,10.0
130,8.0
131,8.0
132,8.0
133,9.0
134,10.0
135,8.0
136,10.0
137,10.0
138,10.0
139,11.0
140,9.0
141,10.0
142,9.0
143,9.0
144,9.0
145,9.0
146,8.0
147,11.0
148,9.0
149,10.0
150,11.0
151,11.0
152,10.0
153,12.0
154,10.0
155,10.0
156,10.0
157,12.0
158,11.0
159,9.0
160,12.0
161,9.0
162,13.0
163,14.0
164,9.0
165,16.0
166,30.0
167,11.0
168,8.0
169,10.0
170,10.0
171,9.0
172,10.0
173,9.0
174,10.0
175,8.0
176,10.0
177,16.0
178,16.0
179,13.0
180,15.0
181,12.0
182,14.0
183,13.0
184,9.0
185,17.0
186,18.0
187,11.0
188,10.0
189,21.0
190,14.0
191,16.0
192,16.0
193,14.0
194,15.0
195,26.0
196,37.0
197,24.0
198,40.0
199,36.0
200,45.0
201,76.0
202,128.0
203,55.0
204,54.0
205,36.0
206,104.0
207,85.0
208,90.0
209,108.0
210,105.0
211,107.0
212,60.0
213,96.0
214,101.0
215,112.0
216,94.0
217,89.0
218,154.0
219,138.0
220,79.0
221,126.0
222,140.0
223,134.0
224,104.0
225,147.0
226,106.0
227,104.0
228,200.0
229,200.0
230,124.0
231,172.0
232,142.0
233,200.0
234,125.0
235,146.0
236,181.0
237,174.0
238,200.0
239,172.0
240,170.0
241,143.0
242,154.0
243,200.0
244,200.0
245,146.0
246,143.0
247,161.0
248,161.0
249,146.0
250,135.0
251,200.0
252,191.0
253,155.0
254,200.0
255,152.0
256,178.0
257,167.0
258,157.0
259,180.0
260,152.0
261,200.0
262,145.0
263,200.0
264,168.0
265,145.0
266,182.0
267,185.0
268,142.0
269,176.0
270,149.0
271,143.0
272,139.0
273,152.0
274,200.0
275,180.0
276,138.0
277,146.0
278,200.0
279,182.0
280,190.0
281,154.0
282,154.0
283,200.0
284,181.0
285,156.0
286,200.0
287,168.0
288,193.0
289,200.0
290,185.0
291,200.0
292,142.0
293,200.0
294,200.0
295,164.0
296,200.0
297,162.0
298,200.0
299,156.0
300,180.0
301,200.0
302,170.0
303,197.0
304,197.0
305,147.0
306,188.0
307,154.0
308,200.0
309,200.0
310,200.0
311,193.0
312,200.0
313,139.0
314,168.0
315,164.0
316,167.0
317,200.0
318,177.0
319,194.0
320,192.0
321,200.0
322,144.0
323,188.0
324,183.0
325,194.0
326,188.0
327,179.0
328,196.0
329,198.0
330,200.0
331,177.0
332,200.0
333,200.0
334,200.0
335,200.0
336,200.0
337,194.0
338,200.0
339,200.0
340,200.0
341,200.0
342,198.0
343,187.0
344,200.0
345,165.0
346,200.0
347,179.0
348,200.0
349,182.0
350,185.0
351,200.0
352,169.0
353,150.0
354,200.0
355,200.0
356,200.0
357,170.0
358,182.0
359,150.0
360,200.0
361,200.0
362,180.0
363,200.0
364,193.0
365,200.0
366,194.0
367,200.0
368,176.0
369,200.0
370,197.0
371,151.0
372,200.0
373,197.0
374,200.0
375,200.0
376,200.0
377,200.0
378,200.0
379,200.0
380,200.0
381,160.0
382,200.0
383,200.0
384,200.0
385,192.0
386,176.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
392,200.0
393,200.0
394,182.0
395,200.0
396,194.0
397,200.0
398,200.0
399,181.0
400,200.0
401,200.0
402,197.0
403,200.0
404,200.0
405,200.0
406,200.0
407,184.0
408,200.0
409,200.0
410,200.0
411,200.0
412,200.0
413,200.0
414,163.0
415,200.0
416,200.0
417,200.0
418,200.0
419,200.0
420,200.0
421,200.0
422,200.0
423,200.0
424,200.0
425,200.0
426,200.0
427,200.0
428,198.0
429,200.0
430,200.0
431,200.0
432,200.0
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,200.0
439,200.0
440,200.0
441,200.0
442,200.0
443,200.0
444,200.0
445,200.0
446,200.0
447,191.0
448,200.0
449,200.0
450,200.0
451,200.0
452,200.0
453,200.0
454,200.0
455,200.0
456,200.0
457,197.0
458,200.0
459,200.0
460,200.0
461,200.0
462,200.0
463,200.0
464,200.0
465,200.0
466,200.0
467,200.0
468,200.0
469,200.0
