episode,return
1,10.0
2,9.0
3,10.0
4,9.0
5,9.0
6,10.0
7,10.0
8,10.0
9,9.0
10,10.0
11,10.0
12,8.0
13,10.0
14,9.0
15,10.0
16,10.0
17,9.0
18,10.0
19,9.0
20,10.0
21,10.0
22,9.0
23,10.0
24,9.0
25,9.0
26,10.0
27,9.0
28,9.0
29,10.0
30,8.0
31,10.0
32,9.0
33,10.0
34,10.0
35,9.0
36,9.0
37,8.0
38,8.0
39,9.0
40,8.0
41,10.0
42,10.0
43,9.0
44,10.0
45,9.0
46,9.0
47,10.0
48,11.0
49,10.0
50,9.0
51,10.0
52,9.0
53,10.0
54,9.0
55,9.0
56,11.0
57,9.0
58,9.0
59,9.0
60,9.0
61,10.0
62,9.0
63,9.0
64,10.0
65,9.0
66,10.0
67,11.0
68,8.0
69,9.0
70,10.0
71,8.0
72,10.0
73,8.0
74,10.0
75,9.0
76,9.0
77,10.0
78,9.0
79,10.0
80,10.0
81,9.0
82,10.0
83,10.0
84,8.0
85,9.0
86,9.0
87,9.0
88,8.0
89,9.0
90,10.0
91,9.0
92,9.0
93,9.0
94,10.0
95,11.0
96,9.0
97,10.0
98,10.0
99,9.0
100,10.0
101,9.0
102,11.0
103,9.0
104,10.0
105,9.0
106,11.0
107,8.0
108,11.0
109,10.0
110,8.0
111,10.0
112,9.0
113,9.0
114,9.0
115,10.0
116,10.0
117,9.0
118,10.0
119,9.0
120,10.0
121,9.0
122,11.0
123,8.0
124,8.0
125,10.0
126,9.0
127,10.0
128,10.0
129,10.0
130,8.0
131,8.0
132,8.0
133,9.0
134,10.0
135,8.0
136,10.0
137,10.0
138,10.0
139,11.0
140,9.0
141,10.0
142,9.0
143,9.0
144,10.0
145,9.0
146,8.0
147,11.0
148,9.0
149,10.0
150,11.0
151,11.0
152,11.0
153,12.0
154,11.0
155,11.0
156,10.0
157,12.0
158,14.0
159,9.0
160,13.0
161,14.0
162,18.0
163,10.0
164,9.0
165,10.0
166,19.0
167,9.0
168,15.0
169,18.0
170,32.0
171,26.0
172,40.0
173,19.0
174,16.0
175,12.0
176,24.0
177,31.0
178,15.0
179,14.0
180,19.0
181,15.0
182,20.0
183,18.0
184,12.0
185,17.0
186,14.0
187,15.0
188,12.0
189,18.0
190,31.0
191,24.0
192,43.0
193,58.0
194,109.0
195,75.0
196,200.0
197,67.0
198,98.0
199,91.0
200,79.0
201,141.0
202,150.0
203,126.0
204,126.0
205,182.0
206,111.0
207,145.0
208,200.0
209,200.0
210,191.0
211,120.0
212,146.0
213,184.0
214,200.0
215,200.0
216,200.0
217,200.0
218,160.0
219,171.0
220,156.0
221,188.0
222,165.0
223,200.0
224,200.0
225,200.0
226,200.0
227,200.0
228,200.0
229,200.0
230,200.0
231,185.0
232,200.0
233,200.0
234,160.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,200.0
242,200.0
243,200.0
244,200.0
245,200.0
246,167.0
247,200.0
248,130.0
249,163.0
250,200.0
251,200.0
252,200.0
253,200.0
254,200.0
255,184.0
256,200.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,188.0
263,200.0
264,200.0
265,183.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,198.0
272,200.0
273,200.0
274,193.0
275,200.0
276,192.0
277,200.0
278,200.0
279,200.0
280,200.0
281,200.0
282,200.0
283,194.0
284,200.0
285,200.0
286,189.0
287,200.0
288,200.0
289,194.0
290,200.0
291,200.0
292,130.0
293,178.0
294,200.0
295,200.0
296,173.0
297,200.0
298,167.0
299,200.0
300,200.0
301,200.0
302,200.0
303,200.0
304,200.0
305,200.0
306,194.0
307,187.0
308,198.0
309,200.0
310,189.0
311,185.0
312,200.0
313,128.0
314,162.0
315,200.0
316,200.0
317,133.0
318,200.0
319,200.0
320,200.0
321,200.0
322,189.0
323,200.0
324,200.0
325,200.0
326,200.0
327,200.0
328,200.0
329,200.0
330,200.0
331,200.0
332,200.0
333,200.0
334,200.0
335,200.0
336,200.0
337,200.0
338,200.0
339,183.0
340,200.0
341,200.0
342,200.0
343,195.0
344,200.0
345,200.0
346,200.0
347,198.0
348,200.0
349,167.0
350,200.0
351,200.0
352,200.0
353,200.0
354,200.0
355,177.0
356,200.0
357,200.0
358,200.0
359,200.0
360,200.0
361,200.0
362,200.0
363,200.0
364,200.0
365,200.0
366,200.0
367,200.0
368,200.0
369,200.0
370,153.0
371,174.0
372,200.0
373,200.0
374,200.0
375,200.0
376,153.0
377,200.0
378,200.0
379,200.0
380,200.0
381,121.0
382,132.0
383,200.0
384,125.0
385,115.0
386,154.0
387,200.0
388,200.0
389,187.0
390,200.0
391,200.0
392,197.0
393,200.0
394,200.0
395,200.0
396,200.0
397,200.0
398,200.0
399,200.0
400,200.0
401,200.0
402,200.0
403,200.0
404,200.0
405,200.0
406,200.0
407,200.0
408,200.0
409,200.0
410,200.0
411,200.0
412,200.0
413,184.0
414,200.0
415,200.0
416,200.0
417,200.0
418,200.0
419,200.0
420,200.0
421,200.0
422,200.0
423,200.0
424,200.0
425,200.0
426,200.0
427,200.0
428,200.0
429,200.0
430,200.0
431,200.0
432,200.0
433,200.0
434,200.0
435,188.0
436,200.0
437,200.0
438,200.0
439,200.0
440,200.0
441,200.0
442,200.0
443,200.0
444,200.0
445,200.0
446,200.0
447,200.0
448,200.0
449,200.0
450,200.0
451,200.0
452,200.0
453,200.0
454,200.0
455,200.0
456,200.0
457,200.0
458,200.0
459,200.0
460,200.0
461,200.0
462,200.0
463,200.0
464,194.0
465,200.0
466,200.0
467,200.0
468,200.0
469,200.0
