episode,return
1,10.0
2,12.0
3,11.0
4,14.0
5,13.0
6,11.0
7,11.0
8,11.0
9,14.0
10,12.0
11,10.0
12,15.0
13,10.0
14,13.0
15,12.0
16,11.0
17,12.0
18,12.0
19,14.0
20,11.0
21,11.0
22,12.0
23,11.0
24,13.0
25,13.0
26,11.0
27,13.0
28,12.0
29,12.0
30,15.0
31,12.0
32,14.0
33,11.0
34,11.0
35,13.0
36,14.0
37,14.0
38,15.0
39,12.0
40,15.0
41,11.0
42,9.0
43,9.0
44,9.0
45,10.0
46,11.0
47,12.0
48,9.0
49,13.0
50,16.0
51,14.0
52,44.0
53,124.0
54,13.0
55,15.0
56,46.0
57,15.0
58,26.0
59,23.0
60,28.0
61,69.0
62,108.0
63,188.0
64,200.0
65,180.0
66,142.0
67,200.0
68,144.0
69,200.0
70,200.0
71,156.0
72,200.0
73,167.0
74,136.0
75,167.0
76,183.0
77,162.0
78,154.0
79,161.0
80,154.0
81,105.0
82,127.0
83,141.0
84,104.0
85,125.0
86,114.0
87,124.0
88,95.0
89,122.0
90,146.0
91,124.0
92,112.0
93,101.0
94,115.0
95,148.0
96,112.0
97,153.0
98,140.0
99,122.0
100,129.0
101,135.0
102,152.0
103,142.0
104,123.0
105,115.0
106,200.0
107,98.0
108,172.0
109,123.0
110,121.0
111,111.0
112,62.0
113,30.0
114,106.0
115,158.0
116,147.0
117,163.0
118,151.0
119,158.0
120,150.0
121,140.0
122,136.0
123,149.0
124,164.0
125,155.0
126,155.0
127,170.0
128,167.0
129,141.0
130,185.0
131,200.0
132,200.0
133,158.0
134,180.0
135,200.0
136,200.0
137,200.0
138,164.0
139,182.0
140,189.0
141,200.0
142,200.0
143,200.0
144,200.0
145,121.0
146,144.0
147,113.0
148,109.0
149,185.0
150,124.0
151,200.0
152,132.0
153,200.0
154,200.0
155,131.0
156,200.0
157,200.0
158,198.0
159,200.0
160,113.0
161,119.0
162,133.0
163,200.0
164,164.0
165,183.0
166,122.0
167,91.0
168,121.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,174.0
181,200.0
182,200.0
183,200.0
184,200.0
185,147.0
186,200.0
187,140.0
188,154.0
189,200.0
190,128.0
191,121.0
192,164.0
193,124.0
194,200.0
195,200.0
196,123.0
197,136.0
198,155.0
199,117.0
200,200.0
201,125.0
202,156.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
208,200.0
209,200.0
210,134.0
211,200.0
212,200.0
213,200.0
214,200.0
215,200.0
216,200.0
217,175.0
218,200.0
219,200.0
220,200.0
221,200.0
222,200.0
223,192.0
224,200.0
225,200.0
226,194.0
227,182.0
228,200.0
229,200.0
230,146.0
231,200.0
232,178.0
233,200.0
234,142.0
235,200.0
236,200.0
237,200.0
238,159.0
239,200.0
240,200.0
241,200.0
242,142.0
243,200.0
244,194.0
245,184.0
246,153.0
247,144.0
248,106.0
249,113.0
250,142.0
251,195.0
252,136.0
253,200.0
254,200.0
255,120.0
256,200.0
257,123.0
258,159.0
259,200.0
260,183.0
261,200.0
262,182.0
263,105.0
264,200.0
265,200.0
266,192.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,200.0
275,200.0
276,200.0
277,49.0
278,200.0
279,166.0
280,200.0
281,93.0
282,151.0
283,200.0
284,136.0
285,200.0
286,112.0
287,200.0
288,191.0
289,151.0
290,179.0
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,200.0
297,200.0
298,200.0
299,200.0
300,200.0
301,200.0
302,200.0
303,200.0
304,200.0
305,200.0
306,200.0
307,200.0
308,200.0
309,200.0
310,115.0
311,200.0
312,200.0
313,200.0
314,200.0
315,166.0
316,200.0
317,200.0
318,183.0
319,200.0
320,200.0
321,200.0
322,40.0
323,200.0
324,200.0
325,68.0
326,200.0
327,200.0
328,43.0
329,51.0
330,200.0
331,200.0
332,148.0
333,200.0
334,200.0
335,200.0
336,175.0
337,200.0
338,200.0
339,200.0
340,200.0
341,200.0
342,200.0
343,197.0
344,200.0
345,200.0
346,200.0
347,200.0
348,200.0
349,200.0
350,200.0
351,200.0
352,200.0
353,200.0
354,167.0
355,192.0
356,200.0
357,200.0
358,17.0
359,200.0
360,200.0
361,200.0
362,200.0
363,155.0
364,200.0
365,200.0
366,180.0
367,200.0
368,200.0
369,183.0
370,200.0
371,200.0
372,200.0
373,157.0
374,200.0
375,200.0
376,200.0
377,200.0
378,200.0
379,175.0
380,200.0
381,200.0
382,200.0
383,95.0
384,200.0
385,200.0
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
392,200.0
393,200.0
394,200.0
395,200.0
396,200.0
397,200.0
398,200.0
399,200.0
400,200.0
401,200.0
402,200.0
403,200.0
404,200.0
405,200.0
406,200.0
407,160.0
408,200.0
409,200.0
410,200.0
411,190.0
412,200.0
413,187.0
414,200.0
415,200.0
416,200.0
417,200.0
418,200.0
419,200.0
420,200.0
421,200.0
422,200.0
423,200.0
424,200.0
425,200.0
426,200.0
427,200.0
428,200.0
429,156.0
430,200.0
431,200.0
432,200.0
433,200.0
434,200.0
435,200.0
436,159.0
437,11.0
438,10.0
439,9.0
440,8.0
441,9.0
442,10.0
443,10.0
444,11.0
445,11.0
446,14.0
447,13.0
448,16.0
449,98.0
450,200.0
451,200.0
452,200.0
453,177.0
454,200.0
455,200.0
456,200.0
457,200.0
458,182.0
459,191.0
460,9.0
461,10.0
462,10.0
463,9.0
464,8.0
465,10.0
466,9.0
467,9.0
468,9.0
469,9.0
470,10.0
471,10.0
472,8.0
473,9.0
474,8.0
475,9.0
476,9.0
477,10.0
478,9.0
479,11.0
480,10.0
481,8.0
482,11.0
483,10.0
484,10.0
485,11.0
486,54.0
487,21.0
488,200.0
489,200.0
490,184.0
491,149.0
492,164.0
493,195.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,200.0
