episode,return
1,19.0
2,26.0
3,15.0
4,23.0
5,14.0
6,42.0
7,15.0
8,25.0
9,22.0
10,17.0
11,39.0
12,82.0
13,16.0
14,27.0
15,12.0
16,13.0
17,22.0
18,22.0
19,19.0
20,47.0
21,32.0
22,20.0
23,26.0
24,34.0
25,19.0
26,13.0
27,18.0
28,22.0
29,25.0
30,50.0
31,29.0
32,22.0
33,13.0
34,24.0
35,13.0
36,27.0
37,38.0
38,34.0
39,41.0
40,30.0
41,17.0
42,38.0
43,25.0
44,79.0
45,41.0
46,16.0
47,31.0
48,14.0
49,89.0
50,18.0
51,14.0
52,29.0
53,50.0
54,31.0
55,36.0
56,24.0
57,97.0
58,17.0
59,47.0
60,126.0
61,49.0
62,119.0
63,85.0
64,16.0
65,49.0
66,61.0
67,129.0
68,30.0
69,68.0
70,162.0
71,60.0
72,30.0
73,88.0
74,33.0
75,87.0
76,76.0
77,140.0
78,45.0
79,33.0
80,35.0
81,26.0
82,152.0
83,60.0
84,126.0
85,24.0
86,76.0
87,37.0
88,33.0
89,157.0
90,41.0
91,41.0
92,112.0
93,25.0
94,53.0
95,62.0
96,95.0
97,200.0
98,36.0
99,106.0
100,200.0
101,168.0
102,177.0
103,157.0
104,163.0
105,200.0
106,175.0
107,185.0
108,66.0
109,134.0
110,99.0
111,136.0
112,109.0
113,131.0
114,183.0
115,47.0
116,77.0
117,135.0
118,133.0
119,116.0
120,200.0
121,65.0
122,51.0
123,200.0
124,39.0
125,92.0
126,129.0
127,150.0
128,131.0
129,130.0
130,161.0
131,116.0
132,67.0
133,153.0
134,89.0
135,142.0
136,200.0
137,200.0
138,125.0
139,126.0
140,180.0
141,200.0
142,145.0
143,200.0
144,200.0
145,114.0
146,200.0
147,200.0
148,152.0
149,200.0
150,145.0
151,200.0
152,155.0
153,200.0
154,157.0
155,200.0
156,200.0
157,200.0
158,124.0
159,200.0
160,200.0
161,104.0
162,200.0
163,83.0
164,84.0
165,200.0
166,200.0
167,130.0
168,200.0
169,148.0
170,54.0
171,104.0
172,93.0
173,161.0
174,200.0
175,110.0
176,161.0
177,151.0
178,143.0
179,115.0
180,117.0
181,137.0
182,44.0
183,58.0
184,81.0
185,103.0
186,180.0
187,127.0
188,34.0
189,149.0
190,137.0
191,129.0
192,90.0
193,134.0
194,74.0
195,66.0
196,123.0
197,127.0
198,137.0
199,156.0
200,139.0
201,119.0
202,112.0
203,124.0
204,159.0
205,164.0
206,200.0
207,114.0
208,67.0
209,163.0
210,163.0
211,151.0
212,167.0
213,145.0
214,147.0
215,134.0
216,200.0
217,142.0
218,125.0
219,117.0
220,189.0
221,179.0
222,142.0
223,200.0
224,144.0
225,200.0
226,126.0
227,78.0
228,136.0
229,160.0
230,148.0
231,114.0
232,163.0
233,162.0
234,150.0
235,155.0
236,177.0
237,157.0
238,175.0
239,200.0
240,181.0
241,165.0
242,181.0
243,200.0
244,192.0
245,200.0
246,200.0
247,200.0
248,200.0
249,193.0
250,200.0
251,200.0
252,200.0
253,200.0
254,200.0
255,200.0
256,200.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,88.0
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,200.0
275,200.0
276,121.0
277,200.0
278,129.0
279,200.0
280,200.0
281,200.0
282,200.0
283,88.0
284,200.0
285,200.0
286,136.0
287,200.0
